suburb,rooms,type,price,method,seller_g,date,distance,postcode,bedroom2,bathroom,car,landsize,council_area,latitude,longitude,region_name,property_count,yr_qtr
Bentleigh East,2,h,1410000.0,S,hockingstuart,2016-09-03,13.9,3165.0,2.0,1.0,2.0,768.0,Glen Eira City Council,-37.9305,145.0547,Southern Metropolitan,10969.0,2016.3
Bentleigh East,3,h,930000.0,S,hockingstuart,2017-03-18,13.9,3165.0,3.0,1.0,2.0,580.0,Glen Eira City Council,-37.9369,145.0751,Southern Metropolitan,10969.0,2017.1
Bentleigh East,3,h,1550000.0,S,Paul,2016-12-10,13.9,3165.0,3.0,1.0,1.0,581.0,Glen Eira City Council,-37.9177,145.0535,Southern Metropolitan,10969.0,2016.4
Bentleigh East,4,h,1475000.0,S,hockingstuart,2017-03-18,13.9,3165.0,4.0,2.0,2.0,674.0,Glen Eira City Council,-37.9272,145.0786,Southern Metropolitan,10969.0,2017.1
Bentleigh East,4,t,950000.0,PI,Buxton,2017-03-18,13.9,3165.0,4.0,2.0,1.0,450.0,Glen Eira City Council,-37.9133,145.0837,Southern Metropolitan,10969.0,2017.1
Bentleigh East,4,t,1045000.0,S,Buxton,2016-06-18,13.9,3165.0,4.0,2.0,1.0,316.0,Glen Eira City Council,-37.9198,145.0789,Southern Metropolitan,10969.0,2016.2
Bentleigh East,3,u,1131000.0,S,hockingstuart,2016-06-18,13.9,3165.0,3.0,2.0,2.0,583.0,Glen Eira City Council,-37.9209,145.0686,Southern Metropolitan,10969.0,2016.2
Bentleigh East,3,h,750000.0,PI,Hodges,2016-06-18,13.9,3165.0,3.0,2.0,1.0,188.0,Glen Eira City Council,-37.9193,145.0553,Southern Metropolitan,10969.0,2016.2
Bentleigh East,3,t,884000.0,S,Buxton,2016-06-18,13.9,3165.0,3.0,2.0,2.0,583.0,Glen Eira City Council,-37.9209,145.0686,Southern Metropolitan,10969.0,2016.2
Bentleigh East,3,u,800000.0,PI,Buxton,2016-06-18,13.9,3165.0,3.0,2.0,2.0,252.0,Glen Eira City Council,-37.9085,145.0683,Southern Metropolitan,10969.0,2016.2
Bentleigh East,2,u,655000.0,S,hockingstuart,2016-06-18,13.9,3165.0,2.0,1.0,1.0,154.0,Glen Eira City Council,-37.9079,145.0685,Southern Metropolitan,10969.0,2016.2
Bentleigh East,3,t,970000.0,S,Matthew,2017-03-18,13.9,3165.0,3.0,2.0,2.0,267.0,Glen Eira City Council,-37.9176,145.0566,Southern Metropolitan,10969.0,2017.1
Bentleigh East,3,t,1030000.0,S,Buxton,2017-03-18,13.9,3165.0,3.0,2.0,2.0,327.0,Glen Eira City Council,-37.9195,145.0555,Southern Metropolitan,10969.0,2017.1
Bentleigh East,4,h,1510000.0,SP,C21,2017-03-18,13.9,3165.0,4.0,2.0,2.0,640.0,Glen Eira City Council,-37.9198,145.0545,Southern Metropolitan,10969.0,2017.1
Bentleigh East,3,t,825000.0,S,hockingstuart,2016-09-17,13.9,3165.0,3.0,1.0,1.0,642.0,Glen Eira City Council,-37.9269,145.0787,Southern Metropolitan,10969.0,2016.3
Bentleigh East,3,h,900000.0,VB,Beller,2016-09-17,13.9,3165.0,3.0,1.0,3.0,780.0,Glen Eira City Council,-37.9347,145.0507,Southern Metropolitan,10969.0,2016.3
Bentleigh East,3,h,1302500.0,SP,Buxton,2016-12-10,13.9,3165.0,3.0,2.0,2.0,583.0,Glen Eira City Council,-37.9209,145.0686,Southern Metropolitan,10969.0,2016.4
Bentleigh East,2,u,716000.0,S,Buxton,2016-12-10,13.9,3165.0,2.0,1.0,2.0,212.0,Glen Eira City Council,-37.9218,145.0607,Southern Metropolitan,10969.0,2016.4
Bentleigh East,3,h,1106000.0,S,McGrath,2016-12-10,13.9,3165.0,3.0,1.0,2.0,584.0,Glen Eira City Council,-37.9183,145.071,Southern Metropolitan,10969.0,2016.4
Bentleigh East,4,t,850000.0,PI,hockingstuart,2017-02-11,13.9,3165.0,3.0,2.0,2.0,583.0,Glen Eira City Council,-37.9209,145.0686,Southern Metropolitan,10969.0,2017.1
Bentleigh East,5,h,1550000.0,S,Hodges,2016-06-18,13.9,3165.0,5.0,3.0,2.0,623.0,Glen Eira City Council,-37.9066,145.0541,Southern Metropolitan,10969.0,2016.2
Bentleigh East,3,h,835000.0,S,Woodards,2016-06-18,13.9,3165.0,3.0,1.0,1.0,250.0,Glen Eira City Council,-37.9087,145.0537,Southern Metropolitan,10969.0,2016.2
Bentleigh East,4,t,1300000.0,PI,Buxton,2016-08-22,13.9,3165.0,3.0,2.0,2.0,583.0,Glen Eira City Council,-37.9209,145.0686,Southern Metropolitan,10969.0,2016.3
